0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,fact_sale,pred_trend
44.167,13.316,0.301,1.177,0.588,-3.0,-0.056,-17.0,7.0,2.315,0.36,-0.46,0.455,8.0,0.513,-0.5,0.866,39.0,52.0,1.0
41.667,14.384,0.345,1.32,0.927,18.0,0.396,2.0,1.0,2.811,0.455,-0.2,0.545,8.0,0.513,0.0,1.0,22.0,52.0,2.0
39.0,14.629,0.375,0.949,-0.137,-32.0,-0.623,-8.0,18.0,2.923,0.476,-1.707,0.455,8.0,0.513,0.5,0.866,23.0,55.0,1.0
39.75,14.737,0.371,1.736,1.985,16.0,0.264,24.0,31.0,2.745,0.413,1.254,0.455,7.0,0.587,0.866,0.5,46.0,37.0,1.0
23.833,5.193,0.218,1.259,1.187,8.0,0.31,6.0,-1.0,0.846,0.316,0.352,0.636,4.0,0.387,-0.866,-0.5,15.0,21.0,2.0
22.667,5.249,0.232,0.971,-0.127,-8.0,-0.31,3.0,-5.0,0.867,0.325,-1.261,0.545,4.0,0.387,-1.0,0.0,16.0,30.0,2.0
21.917,5.894,0.269,1.369,1.371,6.0,0.223,5.0,3.0,1.269,0.553,0.28,0.636,4.0,0.387,-0.866,0.5,13.0,22.0,1.0
21.667,5.603,0.259,1.108,0.416,5.0,0.234,-7.0,5.0,0.706,0.189,-0.308,0.545,5.0,0.519,-0.5,0.866,27.0,30.0,2.0
21.25,5.599,0.264,0.894,-0.402,-6.0,-0.274,-8.0,2.0,0.703,0.188,-1.212,0.545,5.0,0.519,0.0,1.0,19.0,24.0,1.0
21.5,5.56,0.259,1.163,0.629,-6.0,-0.215,-2.0,10.0,0.776,0.232,-0.158,0.545,6.0,0.519,0.5,0.866,22.0,19.0,2.0
21.0,5.492,0.262,1.476,1.821,4.0,0.138,12.0,15.0,0.713,0.201,1.238,0.636,6.0,0.519,0.866,0.5,19.0,25.0,1.0
21.917,6.344,0.289,0.913,-0.302,-13.0,-0.501,-15.0,1.0,1.171,0.406,-1.71,0.455,6.0,0.429,-0.866,-0.5,18.0,18.0,2.0
21.667,6.472,0.299,1.523,1.751,9.0,0.318,7.0,14.0,1.448,0.596,0.82,0.545,6.0,0.333,-1.0,0.0,17.0,20.0,2.0
20.583,5.499,0.267,1.166,0.621,-11.0,-0.377,7.0,3.0,0.997,0.391,-0.481,0.455,6.0,0.4,-0.866,0.5,20.0,33.0,1.0
20.083,5.438,0.271,1.743,2.743,9.0,0.297,16.0,16.0,0.941,0.356,2.233,0.545,6.0,0.4,-0.5,0.866,18.0,24.0,2.0
18.333,3.325,0.181,1.418,2.306,9.0,0.425,7.0,14.0,0.497,0.266,1.732,0.545,6.0,0.4,0.0,1.0,14.0,35.0,1.0
17.0,3.189,0.188,1.0,0.0,-2.0,-0.111,-4.0,-1.0,0.469,0.257,-0.938,0.545,5.0,0.4,0.5,0.866,10.0,26.0,1.0
16.25,4.044,0.249,1.169,0.68,0.0,0.0,0.0,2.0,0.815,0.484,-0.596,0.636,5.0,0.4,0.866,0.5,8.0,17.0,2.0
10.667,4.955,0.465,1.219,0.471,1.0,0.08,1.0,-6.0,0.517,0.13,-0.111,0.545,8.0,0.846,-0.866,-0.5,3.0,8.0,2.0
9.75,5.433,0.557,1.231,0.414,-3.0,-0.223,7.0,1.0,0.745,0.224,-0.386,0.545,7.0,0.846,-1.0,0.0,2.0,13.0,2.0
9.417,5.408,0.574,1.593,1.032,3.0,0.223,7.0,0.0,0.71,0.205,0.348,0.545,7.0,0.846,-0.866,0.5,8.0,12.0,2.0
8.583,5.251,0.612,1.398,0.651,7.0,0.875,-7.0,10.0,0.626,0.169,-0.005,0.545,8.0,0.846,-0.5,0.866,5.0,15.0,2.0
8.417,5.171,0.614,0.594,-0.661,-3.0,-0.47,-6.0,-8.0,0.416,0.077,-1.148,0.455,8.0,0.846,0.0,1.0,10.0,12.0,2.0
9.333,5.452,0.584,0.857,-0.245,-11.0,-0.865,-7.0,5.0,0.28,0.031,-0.535,0.455,8.0,0.875,0.5,0.866,16.0,5.0,1.0
9.417,5.438,0.578,2.018,1.762,8.0,0.547,17.0,17.0,0.353,0.05,1.442,0.545,8.0,0.875,0.866,0.5,9.0,8.0,2.0
4.583,2.564,0.56,1.745,1.332,3.0,0.47,3.0,5.0,0.094,0.016,1.139,0.545,7.0,0.875,-0.866,-0.5,8.0,7.0,1.0
4.417,2.396,0.543,1.132,0.243,-2.0,-0.336,2.0,4.0,-0.115,0.028,0.515,0.545,7.0,0.875,-1.0,0.0,6.0,8.0,2.0
4.167,2.478,0.595,1.68,1.144,2.0,0.336,5.0,6.0,-0.049,0.005,1.255,0.636,6.0,0.875,-0.866,0.5,2.0,5.0,2.0
4.167,2.478,0.595,1.2,0.336,2.0,0.511,2.0,-3.0,-0.287,0.16,1.061,0.545,7.0,0.875,-0.5,0.866,7.0,7.0,1.0
4.333,2.593,0.598,0.692,-0.514,1.0,0.405,2.0,-1.0,-0.434,0.333,0.497,0.455,7.0,0.875,0.0,1.0,7.0,5.0,2.0
4.583,2.597,0.567,0.436,-0.995,-1.0,-0.405,1.0,-6.0,-0.437,0.338,-0.085,0.455,7.0,0.875,0.5,0.866,6.0,3.0,1.0
4.75,2.487,0.524,0.632,-0.704,2.0,1.099,-5.0,-3.0,-0.297,0.17,-0.051,0.545,6.0,0.875,0.866,0.5,4.0,2.0,2.0
6.833,2.577,0.377,0.585,-1.1,-2.0,-0.405,-4.0,-6.0,-0.203,0.074,-0.693,0.364,4.0,0.692,-0.866,-0.5,13.0,7.0,1.0
6.833,2.577,0.377,0.878,-0.323,-3.0,-0.405,1.0,-1.0,0.035,0.002,-0.398,0.455,5.0,0.615,-1.0,0.0,4.0,4.0,1.0
6.75,2.618,0.388,1.333,0.859,1.0,0.118,4.0,4.0,0.143,0.036,0.569,0.455,5.0,0.615,-0.866,0.5,5.0,6.0,1.0
6.25,2.712,0.434,1.28,0.645,3.0,0.47,-2.0,3.0,0.185,0.056,0.277,0.455,6.0,0.615,-0.5,0.866,3.0,9.0,1.0
6.333,2.779,0.439,0.789,-0.48,0.0,0.0,-2.0,0.0,0.0,0.0,-0.48,0.364,6.0,0.667,0.0,1.0,9.0,8.0,2.0
6.167,2.911,0.472,0.811,-0.401,-5.0,-0.693,0.0,-8.0,0.189,0.05,-0.777,0.455,7.0,0.667,0.5,0.866,3.0,5.0,2.0
6.167,2.911,0.472,1.622,1.317,3.0,0.357,5.0,6.0,0.287,0.116,0.824,0.455,7.0,0.667,0.866,0.5,5.0,5.0,2.0
11.583,4.462,0.385,1.468,1.214,-4.0,-0.211,4.0,9.0,0.794,0.377,0.299,0.455,7.0,0.769,-0.866,-0.5,8.0,13.0,1.0
10.75,4.304,0.4,1.953,2.382,9.0,0.56,8.0,12.0,0.724,0.337,1.789,0.545,6.0,0.769,-1.0,0.0,7.0,17.0,2.0
9.25,3.538,0.383,1.297,0.777,-1.0,-0.08,3.0,9.0,0.556,0.294,-0.104,0.545,5.0,0.769,-0.866,0.5,3.0,21.0,2.0
9.75,4.245,0.435,1.333,0.766,0.0,0.0,5.0,0.0,0.094,0.006,0.645,0.545,5.0,0.833,-0.5,0.866,18.0,12.0,2.0
9.25,4.186,0.453,1.405,0.896,4.0,0.368,4.0,0.0,0.052,0.002,0.828,0.636,6.0,0.833,0.0,1.0,7.0,13.0,1.0
8.833,4.038,0.457,1.019,0.041,1.0,0.118,6.0,1.0,-0.07,0.004,0.137,0.545,7.0,0.833,0.5,0.866,8.0,13.0,2.0
8.5,4.173,0.491,0.941,-0.12,-1.0,-0.118,-5.0,1.0,0.07,0.003,-0.212,0.545,7.0,0.833,0.866,0.5,5.0,9.0,2.0
12.25,3.345,0.273,0.816,-0.673,1.0,0.105,-1.0,-1.0,-0.311,0.103,-0.17,0.455,7.0,0.556,-0.866,-0.5,17.0,9.0,1.0
12.833,3.508,0.273,0.701,-1.093,-5.0,-0.442,1.0,-4.0,-0.392,0.149,-0.519,0.364,6.0,0.556,-1.0,0.0,17.0,10.0,1.0
13.25,3.32,0.251,1.057,0.226,3.0,0.241,-4.0,-3.0,-0.262,0.074,0.686,0.455,6.0,0.556,-0.866,0.5,14.0,9.0,2.0
13.083,3.328,0.254,0.841,-0.626,3.0,0.318,0.0,2.0,-0.248,0.066,-0.223,0.455,6.0,0.556,-0.5,0.866,12.0,14.0,1.0
13.167,3.287,0.25,0.608,-1.572,-10.0,-0.811,-5.0,-2.0,-0.112,0.014,-1.394,0.364,5.0,0.556,0.0,1.0,12.0,11.0,2.0
12.833,3.933,0.307,1.403,1.314,7.0,0.492,1.0,1.0,0.476,0.174,0.714,0.455,4.0,0.471,0.5,0.866,4.0,8.0,2.0
12.333,3.613,0.293,0.892,-0.369,-2.0,-0.167,2.0,-6.0,0.273,0.068,-0.812,0.364,4.0,0.667,0.866,0.5,12.0,18.0,1.0
8.417,3.04,0.361,1.069,0.192,7.0,1.504,-2.0,-4.0,0.122,0.019,-0.03,0.455,8.0,0.846,-0.866,-0.5,5.0,12.0,2.0
8.083,3.174,0.393,0.247,-1.916,-9.0,-1.705,-6.0,-5.0,0.227,0.061,-2.384,0.364,7.0,0.846,-1.0,0.0,5.0,9.0,2.0
8.75,2.618,0.299,1.257,0.859,0.0,0.0,0.0,0.0,0.43,0.322,-0.054,0.364,7.0,0.5,-0.866,0.5,10.0,2.0,2.0
8.0,3.109,0.389,1.375,0.965,3.0,0.318,-2.0,5.0,0.587,0.425,-0.098,0.455,8.0,0.5,-0.5,0.866,2.0,11.0,1.0
7.833,2.995,0.382,1.021,0.056,-3.0,-0.318,1.0,1.0,0.413,0.226,-0.798,0.364,8.0,0.778,0.0,1.0,9.0,11.0,2.0
7.583,3.095,0.408,1.451,1.104,-2.0,-0.167,0.0,6.0,0.514,0.329,0.233,0.455,9.0,0.778,0.5,0.866,5.0,8.0,1.0
7.167,2.939,0.41,1.814,1.985,6.0,0.619,7.0,8.0,0.42,0.243,1.379,0.455,9.0,0.778,0.866,0.5,6.0,11.0,2.0
13.583,3.068,0.226,1.252,1.114,8.0,0.636,0.0,3.0,-0.017,0.0,1.145,0.545,8.0,0.471,-0.866,-0.5,14.0,19.0,2.0
13.333,2.896,0.217,0.675,-1.496,-3.0,-0.288,-7.0,-4.0,-0.189,0.051,-1.168,0.455,7.0,0.471,-1.0,0.0,14.0,17.0,1.0
13.833,2.609,0.189,0.867,-0.703,-5.0,-0.348,3.0,-5.0,-0.056,0.005,-0.586,0.455,8.0,0.471,-0.866,0.5,15.0,9.0,2.0
13.5,3.041,0.225,1.259,1.151,1.0,0.061,3.0,8.0,0.252,0.082,0.726,0.545,8.0,0.471,-0.5,0.866,8.0,12.0,1.0
12.917,2.985,0.231,1.239,1.033,7.0,0.575,3.0,0.0,0.227,0.069,0.637,0.455,9.0,0.471,0.0,1.0,10.0,17.0,1.0
12.417,2.929,0.236,0.725,-1.167,-5.0,-0.442,-8.0,-5.0,0.199,0.055,-1.585,0.364,8.0,0.471,0.5,0.866,10.0,16.0,2.0
12.167,3.312,0.272,1.151,0.553,1.0,0.074,5.0,0.0,0.601,0.393,-0.571,0.455,8.0,0.437,0.866,0.5,6.0,9.0,1.0
4.0,1.633,0.408,1.5,1.225,2.0,0.405,0.0,4.0,0.224,0.224,0.535,0.273,5.0,0.571,-0.866,-0.5,4.0,8.0,2.0
3.833,1.518,0.396,1.043,0.11,-1.0,-0.223,1.0,2.0,0.133,0.091,-0.39,0.182,4.0,0.571,-1.0,0.0,4.0,6.0,2.0
4.083,1.754,0.43,1.224,0.523,-1.0,-0.182,-2.0,3.0,0.003,0.0,0.512,0.182,4.0,0.714,-0.866,0.5,7.0,4.0,1.0
4.583,2.597,0.567,1.309,0.546,3.0,0.693,4.0,3.0,-0.304,0.164,1.301,0.182,3.0,0.818,-0.5,0.866,11.0,5.0,2.0
4.833,2.853,0.59,0.621,-0.643,-4.0,-0.847,1.0,-1.0,-0.538,0.425,0.521,0.182,3.0,0.818,0.0,1.0,9.0,6.0,1.0
5.083,2.812,0.553,1.377,0.681,5.0,1.253,5.0,3.0,-0.5,0.377,2.102,0.273,2.0,0.818,0.5,0.866,6.0,3.0,2.0
4.667,2.867,0.614,0.429,-0.93,0.0,0.0,-1.0,-2.0,-0.469,0.318,-0.038,0.273,1.0,0.818,0.866,0.5,2.0,7.0,1.0
12.25,4.657,0.38,0.816,-0.483,-7.0,-0.531,-8.0,-7.0,0.892,0.437,-2.047,0.545,7.0,0.5,-0.866,-0.5,6.0,6.0,1.0
11.833,5.047,0.427,1.437,1.024,-3.0,-0.163,5.0,7.0,1.273,0.758,-0.738,0.636,7.0,0.375,-1.0,0.0,5.0,10.0,1.0
10.917,5.024,0.46,1.832,1.808,2.0,0.105,9.0,7.0,1.262,0.752,0.856,0.636,7.0,0.375,-0.866,0.5,6.0,17.0,1.0
9.333,4.905,0.525,1.929,1.767,6.0,0.405,1.0,13.0,1.231,0.75,0.774,0.636,8.0,0.375,-0.5,0.866,1.0,20.0,2.0
9.75,5.761,0.591,1.231,0.391,1.0,0.087,2.0,4.0,0.311,0.035,0.095,0.545,9.0,0.957,0.0,1.0,23.0,18.0,2.0
9.167,5.857,0.639,1.2,0.313,-6.0,-0.435,-2.0,5.0,0.392,0.053,-0.056,0.545,9.0,0.957,0.5,0.866,5.0,12.0,2.0
8.833,5.857,0.663,1.925,1.394,7.0,0.531,12.0,12.0,0.392,0.053,1.055,0.545,9.0,0.957,0.866,0.5,7.0,11.0,2.0
18.083,5.649,0.312,1.051,0.162,-10.0,-0.423,1.0,0.0,0.801,0.239,-0.708,0.455,7.0,0.385,-0.866,-0.5,6.0,18.0,1.0
17.667,5.749,0.325,1.642,1.971,13.0,0.595,13.0,3.0,0.916,0.303,1.311,0.455,7.0,0.571,-1.0,0.0,14.0,19.0,2.0
17.417,5.299,0.304,0.919,-0.267,-2.0,-0.118,-3.0,3.0,0.08,0.003,-0.351,0.364,6.0,0.769,-0.866,0.5,26.0,29.0,1.0
17.5,5.284,0.302,1.029,0.095,2.0,0.118,-1.0,-3.0,0.161,0.011,-0.073,0.455,6.0,0.769,-0.5,0.866,17.0,16.0,2.0
19.667,9.04,0.46,0.814,-0.406,-3.0,-0.172,-10.0,1.0,-0.881,0.113,0.139,0.364,6.0,0.864,0.0,1.0,44.0,18.0,2.0
20.083,8.976,0.447,0.946,-0.121,0.0,0.0,6.0,13.0,-0.766,0.087,0.365,0.455,7.0,0.864,0.5,0.866,21.0,16.0,1.0
19.25,9.488,0.493,0.987,-0.026,-7.0,-0.314,-2.0,5.0,-0.29,0.011,0.143,0.545,7.0,0.864,0.866,0.5,9.0,19.0,1.0
15.583,4.821,0.309,0.834,-0.536,3.0,0.262,5.0,-10.0,-0.5,0.128,0.037,0.545,5.0,0.652,-0.866,-0.5,22.0,21.0,1.0
15.583,4.821,0.309,0.642,-1.158,-8.0,-0.588,-3.0,-12.0,-0.283,0.041,-0.853,0.545,5.0,0.652,-1.0,0.0,13.0,13.0,2.0
16.667,4.905,0.294,1.08,0.272,10.0,0.811,-1.0,4.0,-0.315,0.049,0.641,0.545,5.0,0.652,-0.866,0.5,23.0,10.0,2.0
17.667,6.142,0.348,0.453,-1.574,-5.0,-0.486,-15.0,-5.0,-0.888,0.249,-0.899,0.455,4.0,0.733,-0.5,0.866,30.0,18.0,2.0
18.5,5.408,0.292,0.703,-1.017,-6.0,-0.379,-9.0,1.0,-0.462,0.087,-0.573,0.545,5.0,0.6,0.0,1.0,18.0,8.0,2.0
20.0,6.124,0.306,0.95,-0.163,-4.0,-0.191,5.0,-3.0,-0.692,0.152,0.498,0.545,6.0,0.613,0.5,0.866,31.0,13.0,1.0
20.083,6.116,0.305,1.145,0.477,1.0,0.044,10.0,10.0,-0.647,0.133,1.137,0.636,6.0,0.613,0.866,0.5,20.0,19.0,1.0
20.75,5.278,0.254,1.06,0.237,2.0,0.095,-9.0,-4.0,0.871,0.324,-0.816,0.364,6.0,0.355,-0.866,-0.5,14.0,27.0,1.0
20.333,5.359,0.264,0.984,-0.062,-9.0,-0.372,3.0,5.0,0.958,0.381,-1.329,0.273,6.0,0.355,-1.0,0.0,17.0,22.0,2.0
20.583,5.408,0.263,1.409,1.556,-2.0,-0.067,7.0,13.0,0.871,0.309,0.807,0.273,6.0,0.391,-0.866,0.5,23.0,20.0,2.0
20.0,4.813,0.241,1.55,2.285,14.0,0.601,5.0,14.0,0.434,0.097,1.883,0.364,6.0,0.391,-0.5,0.866,22.0,29.0,1.0
18.917,3.499,0.185,0.899,-0.548,-5.0,-0.258,2.0,-3.0,0.01,0.0,-0.564,0.364,5.0,0.391,0.0,1.0,18.0,31.0,2.0
18.417,4.112,0.223,1.195,0.871,-4.0,-0.167,6.0,8.0,0.402,0.114,0.354,0.455,5.0,0.391,0.5,0.866,11.0,17.0,1.0
17.5,4.425,0.253,1.486,1.921,11.0,0.55,9.0,9.0,0.524,0.167,1.391,0.455,4.0,0.391,0.866,0.5,11.0,22.0,1.0
16.0,4.378,0.274,1.25,0.914,2.0,0.105,10.0,6.0,0.077,0.004,0.819,0.455,5.0,0.583,-0.866,-0.5,24.0,14.0,2.0
15.833,4.259,0.269,1.137,0.509,0.0,0.0,3.0,8.0,-0.182,0.022,0.752,0.455,6.0,0.583,-1.0,0.0,18.0,20.0,2.0
16.583,5.251,0.317,1.085,0.27,8.0,0.588,-2.0,4.0,-0.71,0.218,1.146,0.455,7.0,0.63,-0.866,0.5,27.0,18.0,2.0
16.167,5.32,0.329,0.619,-1.159,-5.0,-0.405,-4.0,-9.0,-0.636,0.17,-0.55,0.455,7.0,0.63,-0.5,0.866,13.0,18.0,1.0
16.667,4.989,0.299,0.9,-0.334,-5.0,-0.288,5.0,5.0,-0.35,0.059,0.053,0.455,8.0,0.63,0.0,1.0,16.0,10.0,2.0
16.167,5.413,0.335,1.237,0.708,6.0,0.357,6.0,-4.0,0.021,0.0,0.687,0.545,8.0,0.63,0.5,0.866,9.0,15.0,1.0
15.333,5.528,0.361,0.913,-0.241,4.0,0.336,-5.0,-4.0,0.084,0.003,-0.325,0.455,9.0,0.63,0.866,0.5,10.0,20.0,2.0
13.417,4.271,0.318,1.789,2.478,12.0,0.693,15.0,13.0,0.388,0.098,2.083,0.455,9.0,0.529,-0.866,-0.5,17.0,15.0,2.0
13.167,3.693,0.28,0.911,-0.316,-5.0,-0.348,3.0,-1.0,-0.385,0.129,0.275,0.364,8.0,0.619,-1.0,0.0,21.0,24.0,2.0
12.917,3.861,0.299,1.316,1.057,8.0,0.636,2.0,5.0,-0.171,0.023,1.317,0.455,8.0,0.619,-0.866,0.5,9.0,12.0,2.0
12.75,3.722,0.292,0.706,-1.007,0.0,0.0,-2.0,-5.0,-0.437,0.164,-0.396,0.364,8.0,0.619,-0.5,0.866,15.0,17.0,2.0
12.917,3.593,0.278,0.697,-1.09,-6.0,-0.511,-4.0,1.0,-0.199,0.037,-0.8,0.455,9.0,0.619,0.0,1.0,11.0,9.0,1.0
